country,year,sex,age,suicides/100k pop,gdp_per_capita ($),generation,GDP_for_year ($),log_rate
0,1999,1,4,7.56,1127,5,880206381,2.14710019
0,1999,0,0,6.4,1127,2,880206381,2.00148
0,1999,0,1,4.7,1127,2,880206381,1.740466175
0,1999,0,4,3.18,1127,5,880206381,1.430311247
0,1999,0,2,1.34,1127,0,880206381,0.850150929
0,1999,0,3,0.27,1127,4,880206381,0.2390169
0,1999,1,3,0,1127,4,880206381,0
0,2000,1,1,7.33,1299,2,662923388,2.119863456
0,2000,1,4,5.64,1299,5,662923388,1.893111963
0,2000,0,5,5.29,1299,1,662923388,1.838961071
0,2000,1,5,4.02,1299,1,662923388,1.613429934
0,2000,0,0,2.27,1299,2,662923388,1.184789985
0,2000,1,0,2.08,1299,2,662923388,1.124929597
0,2000,0,2,1.51,1299,0,662923388,0.920282753
0,2000,0,1,1.22,1299,2,662923388,0.797507196
0,2000,1,2,1.07,1299,0,662923388,0.727548607
0,2000,1,3,0.27,1299,4,662923388,0.2390169
0,2000,0,3,0,1299,4,662923388,0
0,2000,0,4,0,1299,5,662923388,0
0,2001,1,1,10.65,1451,2,234208492,2.45530618
0,2001,1,2,8.98,1451,0,234208492,2.30058309
0,2001,1,4,5.59,1451,5,234208492,1.885553349
0,2001,0,5,4.23,1451,5,234208492,1.654411278
0,2001,1,0,3.91,1451,4,234208492,1.591273942
0,2001,0,0,3.32,1451,4,234208492,1.463255402
0,2001,0,2,3.24,1451,0,234208492,1.444563269
0,2001,1,5,3.22,1451,5,234208492,1.439835128
0,2001,0,4,3.16,1451,5,234208492,1.425515074
0,2001,1,3,1.87,1451,4,234208492,1.05431203
0,2001,0,1,1.8,1451,2,234208492,1.029619417
0,2001,0,3,0.65,1451,4,234208492,0.500775288
0,2002,1,5,12.9,1573,5,140111352,2.63188884
0,2002,1,1,11.15,1573,2,140111352,2.49732917
0,2002,1,2,9.16,1573,0,140111352,2.318458442
0,2002,1,4,6.56,1573,5,140111352,2.02287119
0,2002,1,0,5.7,1573,4,140111352,1.902107526
0,2002,0,0,5.07,1573,4,140111352,1.803358605
0,2002,0,2,4,1573,0,140111352,1.609437912
0,2002,0,1,3.13,1573,2,140111352,1.418277407
0,2002,0,5,2.11,1573,5,140111352,1.134622726
0,2002,0,4,2.09,1573,5,140111352,1.128171091
0,2002,0,3,0.33,1573,4,140111352,0.285178942
0,2002,1,3,0.31,1573,4,140111352,0.270027137
0,2003,0,5,12.22,2021,5,1451978617,2.581730834
0,2003,1,4,7.94,2021,5,1451978617,2.190535589
0,2003,1,2,7.25,2021,0,1451978617,2.1102132
0,2003,1,0,5.49,2021,4,1451978617,1.870262531
0,2003,0,0,4.93,2021,4,1451978617,1.780024213
0,2003,0,4,4.6,2021,5,1451978617,1.722766598
0,2003,1,1,4.38,2021,2,1451978617,1.682688374
0,2003,0,1,4.04,2021,2,1451978617,1.617406082
0,2003,0,2,3.41,2021,0,1451978617,1.483874689
0,2003,1,5,3.06,2021,5,1451978617,1.401182974
0,2003,1,3,1.28,2021,4,1451978617,0.824175443
0,2003,0,3,0,2021,4,1451978617,0
0,2004,1,5,11.26,2544,5,1275069416,2.506341931
0,2004,1,2,9.95,2544,0,1275069416,2.393339456
0,2004,1,1,7.85,2544,2,1275069416,2.180417459
0,2004,0,0,6.84,2544,4,1275069416,2.059238834
0,2004,1,0,6.63,2544,4,1275069416,2.032087845
0,2004,0,5,5.89,2544,5,1275069416,1.930071085
0,2004,0,1,4.95,2544,2,1275069416,1.78339122
0,2004,1,4,4.83,2544,5,1275069416,1.763017
0,2004,0,2,4.34,2544,0,1275069416,1.675225653
0,2004,0,4,1.47,2544,5,1275069416,0.904218151
0,2004,0,3,1.05,2544,4,1275069416,0.717839793
0,2004,1,3,0.33,2544,4,1275069416,0.285178942
0,2005,0,0,0,2931,4,431385875,0
0,2005,0,1,0,2931,2,431385875,0
0,2005,0,2,0,2931,0,431385875,0
0,2005,0,3,0,2931,4,431385875,0
0,2005,0,4,0,2931,5,431385875,0
0,2005,0,5,0,2931,5,431385875,0
0,2005,1,0,0,2931,4,431385875,0
0,2005,1,1,0,2931,2,431385875,0
0,2005,1,2,0,2931,0,431385875,0
0,2005,1,3,0,2931,4,431385875,0
0,2005,1,4,0,2931,5,431385875,0
0,2005,1,5,0,2931,5,431385875,0
0,2006,0,0,0,3235,4,402707757,0
0,2006,0,1,0,3235,2,402707757,0
0,2006,0,2,0,3235,0,402707757,0
0,2006,0,3,0,3235,4,402707757,0
0,2006,0,4,0,3235,5,402707757,0
0,2006,0,5,0,3235,5,402707757,0
0,2006,1,0,0,3235,4,402707757,0
0,2006,1,1,0,3235,2,402707757,0
0,2006,1,2,0,3235,0,402707757,0
0,2006,1,3,0,3235,4,402707757,0
0,2006,1,4,0,3235,5,402707757,0
0,2006,1,5,0,3235,5,402707757,0
0,2007,1,5,18.88,3863,5,2111077305,2.989714201
0,2007,1,2,7.66,3863,0,2111077305,2.158714723
0,2007,1,4,6.25,3863,5,2111077305,1.981001469
0,2007,0,5,5.23,3863,5,2111077305,1.829376333
0,2007,1,1,5.22,3863,2,2111077305,1.827769907
0,2007,0,0,4.63,3863,4,2111077305,1.728109442
0,2007,1,0,4.51,3863,4,2111077305,1.706564623
0,2007,0,1,4.36,3863,2,2111077305,1.678963975
0,2007,0,4,4.07,3863,5,2111077305,1.623340818
0,2007,0,2,3.57,3863,0,2111077305,1.519513205
0,2007,1,3,1.47,3863,3,2111077305,0.904218151
0,2007,0,3,0,3863,3,2111077305,0
0,2008,1,1,12.15,4672,2,3549200,2.576421759
0,2008,1,2,9.81,4672,0,3549200,2.380471632
0,2008,1,4,9.18,4672,5,3549200,2.320425011
0,2008,0,5,8.42,4672,5,3549200,2.242835089
0,2008,0,0,7.24,4672,4,3549200,2.109000344
0,2008,0,1,4.93,4672,2,3549200,1.780024213
0,2008,0,2,4.82,4672,0,3549200,1.761300262
0,2008,1,5,4.49,4672,5,3549200,1.702928256
0,2008,1,0,3.84,4672,4,3549200,1.576914721
0,2008,0,4,3.09,4672,5,3549200,1.40854497
0,2008,1,3,2.67,4672,3,3549200,1.300191662
0,2008,0,3,0.41,4672,3,3549200,0.343589704
0,2009,0,0,0,4387,4,840688984,0
0,2009,0,1,0,4387,2,840688984,0
0,2009,0,2,0,4387,0,840688984,0
0,2009,0,3,0,4387,3,840688984,0
0,2009,0,4,0,4387,5,840688984,0
0,2009,0,5,0,4387,5,840688984,0
0,2009,1,0,0,4387,4,840688984,0
0,2009,1,1,0,4387,2,840688984,0
0,2009,1,2,0,4387,0,840688984,0
0,2009,1,3,0,4387,3,840688984,0
0,2009,1,4,0,4387,5,840688984,0
0,2009,1,5,0,4387,5,840688984,0
0,2010,1,4,8.27,4359,5,957948629,2.22678338
0,2010,1,2,5.38,4359,2,957948629,1.853168097
0,2010,1,1,5.01,4359,2,957948629,1.793424749
0,2010,1,5,3.94,4359,5,957948629,1.597365331
0,2010,1,0,3.58,4359,4,957948629,1.521698998
0,2010,0,1,3.27,4359,2,957948629,1.451613827
0,2010,0,5,3.1,4359,5,957948629,1.410986974
0,2010,0,2,3.04,4359,2,957948629,1.396244692
0,2010,0,4,2.9,4359,5,957948629,1.360976553
0,2010,0,0,2.28,4359,4,957948629,1.187843422
0,2010,0,3,0.89,4359,3,957948629,0.636576829
0,2010,1,3,0,4359,3,957948629,0
1,1985,0,0,0,3850,2,240923926,0
1,1985,0,1,0,3850,0,240923926,0
1,1985,0,2,0,3850,5,240923926,0
1,1985,0,3,0,3850,2,240923926,0
1,1985,0,4,0,3850,1,240923926,0
1,1985,0,5,0,3850,1,240923926,0
1,1985,1,0,0,3850,2,240923926,0
1,1985,1,1,0,3850,0,240923926,0
1,1985,1,2,0,3850,5,240923926,0
1,1985,1,3,0,3850,2,240923926,0
1,1985,1,4,0,3850,1,240923926,0
1,1985,1,5,0,3850,1,240923926,0
1,1986,0,0,0,4740,2,290440148,0
1,1986,0,1,0,4740,0,290440148,0
1,1986,0,2,0,4740,5,290440148,0
1,1986,0,3,0,4740,2,290440148,0
1,1986,0,4,0,4740,1,290440148,0
1,1986,0,5,0,4740,1,290440148,0
1,1986,1,0,0,4740,2,290440148,0
1,1986,1,1,0,4740,0,290440148,0
1,1986,1,2,0,4740,5,290440148,0
1,1986,1,3,0,4740,2,290440148,0
1,1986,1,4,0,4740,1,290440148,0
1,1986,1,5,0,4740,1,290440148,0
1,1987,0,0,0,5595,2,337174852,0
1,1987,0,1,0,5595,0,337174852,0
1,1987,0,2,0,5595,5,337174852,0
1,1987,0,3,0,5595,2,337174852,0
1,1987,0,4,0,5595,1,337174852,0
1,1987,0,5,0,5595,1,337174852,0
1,1987,1,0,0,5595,2,337174852,0
1,1987,1,1,0,5595,0,337174852,0
1,1987,1,2,0,5595,5,337174852,0
1,1987,1,3,0,5595,2,337174852,0
1,1987,1,4,0,5595,1,337174852,0
1,1987,1,5,0,5595,1,337174852,0
1,1988,0,0,0,6693,2,398637741,0
1,1988,0,1,0,6693,0,398637741,0
1,1988,0,2,0,6693,5,398637741,0
1,1988,0,3,0,6693,2,398637741,0
1,1988,0,4,0,6693,1,398637741,0
1,1988,0,5,0,6693,1,398637741,0
1,1988,1,0,0,6693,2,398637741,0
1,1988,1,1,0,6693,0,398637741,0
1,1988,1,2,0,6693,5,398637741,0
1,1988,1,3,0,6693,2,398637741,0
1,1988,1,4,0,6693,1,398637741,0
1,1988,1,5,0,6693,1,398637741,0
1,1989,0,0,0,7407,2,438794778,0
1,1989,0,1,0,7407,0,438794778,0
1,1989,0,2,0,7407,5,438794778,0
1,1989,0,3,0,7407,2,438794778,0
1,1989,0,4,0,7407,1,438794778,0
1,1989,0,5,0,7407,1,438794778,0
1,1989,1,0,0,7407,2,438794778,0
1,1989,1,1,0,7407,0,438794778,0
1,1989,1,2,0,7407,5,438794778,0
1,1989,1,3,0,7407,2,438794778,0
1,1989,1,4,0,7407,1,438794778,0
1,1989,1,5,0,7407,1,438794778,0
1,1990,1,2,17.24,7744,5,459469074,2.903616985
1,1990,0,0,0,7744,2,459469074,0
1,1990,0,1,0,7744,0,459469074,0
1,1990,0,2,0,7744,5,459469074,0
1,1990,0,3,0,7744,2,459469074,0
1,1990,0,4,0,7744,1,459469074,0
1,1990,0,5,0,7744,1,459469074,0
1,1990,1,0,0,7744,2,459469074,0
1,1990,1,1,0,7744,0,459469074,0
1,1990,1,3,0,7744,2,459469074,0
1,1990,1,4,0,7744,1,459469074,0
1,1990,1,5,0,7744,1,459469074,0
1,1991,0,0,0,7976,2,481706333,0
1,1991,0,1,0,7976,0,481706333,0
1,1991,0,2,0,7976,0,481706333,0
1,1991,0,3,0,7976,4,481706333,0
1,1991,0,4,0,7976,5,481706333,0
1,1991,0,5,0,7976,1,481706333,0
1,1991,1,0,0,7976,2,481706333,0
1,1991,1,1,0,7976,0,481706333,0
1,1991,1,2,0,7976,0,481706333,0
1,1991,1,3,0,7976,4,481706333,0
1,1991,1,4,0,7976,5,481706333,0
1,1991,1,5,0,7976,1,481706333,0
1,1992,0,0,0,8087,2,499281148,0
1,1992,0,1,0,8087,0,499281148,0
1,1992,0,2,0,8087,0,499281148,0
1,1992,0,3,0,8087,4,499281148,0
1,1992,0,4,0,8087,5,499281148,0
1,1992,0,5,0,8087,1,499281148,0
1,1992,1,0,0,8087,2,499281148,0
1,1992,1,1,0,8087,0,499281148,0
1,1992,1,2,0,8087,0,499281148,0
1,1992,1,3,0,8087,4,499281148,0
1,1992,1,4,0,8087,5,499281148,0
1,1992,1,5,0,8087,1,499281148,0
1,1993,1,1,15,8453,0,535172778,2.772588722
1,1993,0,0,0,8453,2,535172778,0
1,1993,0,1,0,8453,0,535172778,0
1,1993,0,2,0,8453,0,535172778,0
1,1993,0,3,0,8453,4,535172778,0
1,1993,0,4,0,8453,5,535172778,0
1,1993,0,5,0,8453,1,535172778,0
1,1993,1,0,0,8453,2,535172778,0
1,1993,1,2,0,8453,0,535172778,0
1,1993,1,3,0,8453,4,535172778,0
1,1993,1,4,0,8453,5,535172778,0
1,1993,1,5,0,8453,1,535172778,0
1,1994,0,0,0,9062,2,589429593,0
1,1994,0,1,0,9062,0,589429593,0
1,1994,0,2,0,9062,0,589429593,0
1,1994,0,3,0,9062,4,589429593,0
1,1994,0,4,0,9062,5,589429593,0
1,1994,0,5,0,9062,1,589429593,0
1,1994,1,0,0,9062,2,589429593,0
1,1994,1,1,0,9062,0,589429593,0
1,1994,1,2,0,9062,0,589429593,0
1,1994,1,3,0,9062,4,589429593,0
1,1994,1,4,0,9062,5,589429593,0
1,1994,1,5,0,9062,1,589429593,0
1,1995,0,0,0,8636,2,577280741,0
1,1995,0,1,0,8636,2,577280741,0
1,1995,0,2,0,8636,0,577280741,0
1,1995,0,3,0,8636,4,577280741,0
1,1995,0,4,0,8636,5,577280741,0
1,1995,0,5,0,8636,1,577280741,0
1,1995,1,0,0,8636,2,577280741,0
1,1995,1,1,0,8636,2,577280741,0
1,1995,1,2,0,8636,0,577280741,0
1,1995,1,3,0,8636,4,577280741,0
1,1995,1,4,0,8636,5,577280741,0
1,1995,1,5,0,8636,1,577280741,0
1,1998,0,0,0,10078,2,727860593,0
1,1998,0,1,0,10078,2,727860593,0
1,1998,0,2,0,10078,0,727860593,0
1,1998,0,3,0,10078,4,727860593,0
1,1998,0,4,0,10078,5,727860593,0
1,1998,0,5,0,10078,1,727860593,0
1,1998,1,0,0,10078,2,727860593,0
1,1998,1,1,0,10078,2,727860593,0
1,1998,1,2,0,10078,0,727860593,0
1,1998,1,3,0,10078,4,727860593,0
1,1998,1,4,0,10078,5,727860593,0
1,1998,1,5,0,10078,1,727860593,0
1,1999,0,0,0,10378,2,766198926,0
1,1999,0,1,0,10378,2,766198926,0
1,1999,0,2,0,10378,0,766198926,0
1,1999,0,3,0,10378,4,766198926,0
1,1999,0,4,0,10378,5,766198926,0
1,1999,0,5,0,10378,1,766198926,0
1,1999,1,0,0,10378,2,766198926,0
1,1999,1,1,0,10378,2,766198926,0
1,1999,1,2,0,10378,0,766198926,0
1,1999,1,3,0,10378,4,766198926,0
1,1999,1,4,0,10378,5,766198926,0
1,1999,1,5,0,10378,1,766198926,0
1,2000,1,4,30,11021,5,830158778,3.433987204
1,2000,1,2,9.97,11021,0,830158778,2.395164274
1,2000,0,0,0,11021,2,830158778,0
1,2000,0,1,0,11021,2,830158778,0
1,2000,0,2,0,11021,0,830158778,0
1,2000,0,3,0,11021,4,830158778,0
1,2000,0,4,0,11021,5,830158778,0
1,2000,0,5,0,11021,1,830158778,0
1,2000,1,0,0,11021,2,830158778,0
1,2000,1,1,0,11021,2,830158778,0
1,2000,1,3,0,11021,4,830158778,0
1,2000,1,5,0,11021,1,830158778,0
1,2001,1,2,19.45,10468,0,800740259,3.017982882
1,2001,0,0,0,10468,4,800740259,0
1,2001,0,1,0,10468,2,800740259,0
1,2001,0,2,0,10468,0,800740259,0
1,2001,0,3,0,10468,4,800740259,0
1,2001,0,4,0,10468,5,800740259,0
1,2001,0,5,0,10468,5,800740259,0
1,2001,1,0,0,10468,4,800740259,0
1,2001,1,1,0,10468,2,800740259,0
1,2001,1,3,0,10468,4,800740259,0
1,2001,1,4,0,10468,5,800740259,0
1,2001,1,5,0,10468,5,800740259,0
1,2002,0,0,0,10499,4,814615333,0
1,2002,0,1,0,10499,2,814615333,0
1,2002,0,2,0,10499,0,814615333,0
1,2002,0,3,0,10499,4,814615333,0
1,2002,0,4,0,10499,5,814615333,0
1,2002,0,5,0,10499,5,814615333,0
1,2002,1,0,0,10499,4,814615333,0
1,2002,1,1,0,10499,2,814615333,0
1,2002,1,2,0,10499,0,814615333,0
1,2002,1,3,0,10499,4,814615333,0
1,2002,1,4,0,10499,5,814615333,0
1,2002,1,5,0,10499,5,814615333,0
1,2003,1,4,27.82,10878,5,855643111,3.361069591
1,2003,0,0,0,10878,4,855643111,0
1,2003,0,1,0,10878,2,855643111,0
1,2003,0,2,0,10878,0,855643111,0
1,2003,0,3,0,10878,4,855643111,0
1,2003,0,4,0,10878,5,855643111,0
1,2003,0,5,0,10878,5,855643111,0
1,2003,1,0,0,10878,4,855643111,0
1,2003,1,1,0,10878,2,855643111,0
1,2003,1,2,0,10878,0,855643111,0
1,2003,1,3,0,10878,4,855643111,0
1,2003,1,5,0,10878,5,855643111,0
1,2004,1,4,27.29,11535,5,919577148,3.342508385
1,2004,1,2,8.77,11535,0,919577148,2.279316466
1,2004,0,0,0,11535,4,919577148,0
1,2004,0,1,0,11535,2,919577148,0
1,2004,0,2,0,11535,0,919577148,0
1,2004,0,3,0,11535,4,919577148,0
1,2004,0,4,0,11535,5,919577148,0
1,2004,0,5,0,11535,5,919577148,0
1,2004,1,0,0,11535,4,919577148,0
1,2004,1,1,0,11535,2,919577148,0
1,2004,1,3,0,11535,4,919577148,0
1,2004,1,5,0,11535,5,919577148,0
1,2005,0,0,0,12649,4,1022191296,0
1,2005,0,1,0,12649,2,1022191296,0
1,2005,0,2,0,12649,0,1022191296,0
1,2005,0,3,0,12649,4,1022191296,0
1,2005,0,4,0,12649,5,1022191296,0
1,2005,0,5,0,12649,5,1022191296,0
1,2005,1,0,0,12649,4,1022191296,0
1,2005,1,1,0,12649,2,1022191296,0
1,2005,1,2,0,12649,0,1022191296,0
1,2005,1,3,0,12649,4,1022191296,0
1,2005,1,4,0,12649,5,1022191296,0
1,2005,1,5,0,12649,5,1022191296,0
1,2006,0,0,0,14114,4,1157005444,0
1,2006,0,1,0,14114,2,1157005444,0
1,2006,0,2,0,14114,0,1157005444,0
1,2006,0,3,0,14114,4,1157005444,0
1,2006,0,4,0,14114,5,1157005444,0
1,2006,0,5,0,14114,5,1157005444,0
1,2006,1,0,0,14114,4,1157005444,0
1,2006,1,1,0,14114,2,1157005444,0
1,2006,1,2,0,14114,0,1157005444,0
1,2006,1,3,0,14114,4,1157005444,0
1,2006,1,4,0,14114,5,1157005444,0
1,2006,1,5,0,14114,5,1157005444,0
1,2007,1,2,7.98,15775,0,1311401333,2.194999882
1,2007,0,0,0,15775,4,1311401333,0
1,2007,0,1,0,15775,2,1311401333,0
1,2007,0,2,0,15775,0,1311401333,0
1,2007,0,3,0,15775,3,1311401333,0
1,2007,0,4,0,15775,5,1311401333,0
1,2007,0,5,0,15775,5,1311401333,0
1,2007,1,0,0,15775,4,1311401333,0
1,2007,1,1,0,15775,2,1311401333,0
1,2007,1,3,0,15775,3,1311401333,0
1,2007,1,4,0,15775,5,1311401333,0
1,2007,1,5,0,15775,5,1311401333,0
1,2008,0,0,0,16238,4,1368431037,0
1,2008,0,1,0,16238,2,1368431037,0
1,2008,0,2,0,16238,0,1368431037,0
1,2008,0,3,0,16238,3,1368431037,0
1,2008,0,4,0,16238,5,1368431037,0
1,2008,0,5,0,16238,5,1368431037,0
1,2008,1,0,0,16238,4,1368431037,0
1,2008,1,1,0,16238,2,1368431037,0
1,2008,1,2,0,16238,0,1368431037,0
1,2008,1,3,0,16238,3,1368431037,0
1,2008,1,4,0,16238,5,1368431037,0
1,2008,1,5,0,16238,5,1368431037,0
1,2009,0,0,0,14335,4,1224253000,0
1,2009,0,1,0,14335,2,1224253000,0
1,2009,0,2,0,14335,0,1224253000,0
1,2009,0,3,0,14335,3,1224253000,0
1,2009,0,4,0,14335,5,1224253000,0
1,2009,0,5,0,14335,5,1224253000,0
1,2009,1,0,0,14335,4,1224253000,0
1,2009,1,1,0,14335,2,1224253000,0
1,2009,1,2,0,14335,0,1224253000,0
1,2009,1,3,0,14335,3,1224253000,0
1,2009,1,4,0,14335,5,1224253000,0
1,2009,1,5,0,14335,5,1224253000,0
1,2012,0,0,0,13657,4,1211411704,0
1,2012,0,1,0,13657,4,1211411704,0
1,2012,0,2,0,13657,2,1211411704,0
1,2012,0,3,0,13657,3,1211411704,0
1,2012,0,4,0,13657,0,1211411704,0
1,2012,0,5,0,13657,5,1211411704,0
1,2012,1,0,0,13657,4,1211411704,0
1,2012,1,1,0,13657,4,1211411704,0
1,2012,1,2,0,13657,2,1211411704,0
1,2012,1,3,0,13657,3,1211411704,0
1,2012,1,4,0,13657,0,1211411704,0
1,2012,1,5,0,13657,5,1211411704,0
1,2013,0,0,0,13287,4,1192925407,0
1,2013,0,1,0,13287,4,1192925407,0
1,2013,0,2,0,13287,2,1192925407,0
1,2013,0,3,0,13287,3,1192925407,0
1,2013,0,4,0,13287,0,1192925407,0
1,2013,0,5,0,13287,5,1192925407,0
1,2013,1,0,0,13287,4,1192925407,0
1,2013,1,1,0,13287,4,1192925407,0
1,2013,1,2,0,13287,2,1192925407,0
1,2013,1,3,0,13287,3,1192925407,0
1,2013,1,4,0,13287,0,1192925407,0
1,2013,1,5,0,13287,5,1192925407,0
1,2014,0,0,0,14093,4,1280133333,0
1,2014,0,1,0,14093,4,1280133333,0
1,2014,0,2,0,14093,2,1280133333,0
1,2014,0,3,0,14093,3,1280133333,0
