country,year,sex,age,suicides_no,population,suicides/100k pop,gdp_per_capita ($),generation,GDP_for_year ($)
0,1994,1,2,9,362800,2.48,697,0,1985673798
0,1994,1,0,6,242200,2.48,697,2,1985673798
0,1994,0,0,6,282600,2.12,697,2,1985673798
0,1994,0,1,4,261100,1.53,697,0,1985673798
0,1994,0,2,2,342500,0.58,697,0,1985673798
0,1994,0,4,1,174600,0.57,697,5,1985673798
0,1994,1,3,1,371800,0.27,697,4,1985673798
0,1994,0,3,0,344400,0,697,4,1985673798
0,1995,1,1,13,232900,5.58,835,2,1870468287
0,1995,1,4,9,178000,5.06,835,5,1870468287
0,1995,0,5,2,40800,4.9,835,1,1870468287
0,1995,0,0,13,283500,4.59,835,2,1870468287
0,1995,1,0,11,241200,4.56,835,2,1870468287
0,1995,1,5,1,25100,3.98,835,1,1870468287
0,1995,1,2,14,375900,3.72,835,0,1870468287
0,1995,0,1,7,264000,2.65,835,2,1870468287
0,1995,0,2,8,356400,2.24,835,0,1870468287
0,1995,1,3,6,376500,1.59,835,4,1870468287
0,1995,0,4,2,180400,1.11,835,5,1870468287
0,1995,0,3,2,348700,0.57,835,4,1870468287
0,1996,1,5,2,25400,7.87,1127,1,980069004
0,1996,1,0,17,243600,6.98,1127,2,980069004
0,1996,1,1,14,235300,5.95,1127,2,980069004
0,1996,0,0,16,287700,5.56,1127,2,980069004
0,1996,0,5,2,41200,4.85,1127,1,980069004
0,1996,0,1,10,267900,3.73,1127,2,980069004
0,1996,1,2,12,379600,3.16,1127,0,980069004
0,1996,0,2,9,362000,2.49,1127,0,980069004
0,1996,1,4,3,179900,1.67,1127,5,980069004
0,1996,0,4,1,183100,0.55,1127,5,980069004
0,1996,1,3,2,380400,0.53,1127,4,980069004
0,1996,0,3,1,354100,0.28,1127,4,980069004
0,1997,1,1,36,236000,15.25,793,2,1935064188
0,1997,1,0,33,244400,13.5,793,2,1935064188
0,1997,1,5,3,25400,11.81,793,1,1935064188
0,1997,1,2,30,380800,7.88,793,0,1935064188
0,1997,0,0,21,294000,7.14,793,2,1935064188
0,1997,1,4,12,180300,6.66,793,5,1935064188
0,1997,0,1,16,273900,5.84,793,2,1935064188
0,1997,0,5,2,42100,4.75,793,1,1935064188
0,1997,0,2,7,370100,1.89,793,0,1935064188
0,1997,0,3,6,361800,1.66,793,4,1935064188
0,1997,1,3,4,381500,1.05,793,4,1935064188
0,1997,0,4,0,187000,0,793,5,1935064188
0,1998,1,5,3,25800,11.63,899,1,1587843524
0,1998,1,0,27,248800,10.85,899,2,1587843524
0,1998,0,0,32,295600,10.83,899,2,1587843524
0,1998,1,1,26,240400,10.82,899,2,1587843524
0,1998,1,2,29,388200,7.47,899,0,1587843524
0,1998,1,4,9,183800,4.9,899,5,1587843524
0,1998,0,1,10,275300,3.63,899,2,1587843524
0,1998,0,4,6,188200,3.19,899,5,1587843524
0,1998,0,2,9,372100,2.42,899,0,1587843524
0,1998,1,3,2,388400,0.51,899,4,1587843524
0,1998,0,3,1,363800,0.27,899,4,1587843524
0,1998,0,5,0,42300,0,899,1,1587843524
0,1999,1,5,3,25900,11.58,1127,1,880206381
0,1999,1,0,24,250600,9.58,1127,2,880206381
0,1999,0,5,4,42400,9.43,1127,1,880206381
0,1999,1,2,31,391100,7.93,1127,0,880206381
0,1999,1,1,19,242300,7.84,1127,2,880206381
0,1999,1,4,14,185200,7.56,1127,5,880206381
0,1999,0,0,19,296800,6.4,1127,2,880206381
0,1999,0,1,13,276500,4.7,1127,2,880206381
0,1999,0,4,6,188800,3.18,1127,5,880206381
0,1999,0,2,5,373600,1.34,1127,0,880206381
0,1999,0,3,1,365200,0.27,1127,4,880206381
0,1999,1,3,0,391300,0,1127,4,880206381
0,2000,1,1,17,232000,7.33,1299,2,662923388
0,2000,1,4,10,177400,5.64,1299,5,662923388
0,2000,0,5,2,37800,5.29,1299,1,662923388
0,2000,1,5,1,24900,4.02,1299,1,662923388
0,2000,0,0,6,263900,2.27,1299,2,662923388
0,2000,1,0,5,240000,2.08,1299,2,662923388
0,2000,0,2,5,332200,1.51,1299,0,662923388
0,2000,0,1,3,245800,1.22,1299,2,662923388
0,2000,1,2,4,374700,1.07,1299,0,662923388
0,2000,1,3,1,374900,0.27,1299,4,662923388
0,2000,0,3,0,324700,0,1299,4,662923388
0,2000,0,4,0,168000,0,1299,5,662923388
0,2001,1,1,22,206484,10.65,1451,2,234208492
0,2001,1,2,34,378826,8.98,1451,0,234208492
0,2001,1,4,11,196670,5.59,1451,5,234208492
0,2001,0,5,2,47254,4.23,1451,5,234208492
0,2001,1,0,10,256039,3.91,1451,4,234208492
0,2001,0,0,9,271359,3.32,1451,4,234208492
0,2001,0,2,12,370191,3.24,1451,0,234208492
0,2001,1,5,1,31044,3.22,1451,5,234208492
0,2001,0,4,6,189799,3.16,1451,5,234208492
0,2001,1,3,6,321556,1.87,1451,4,234208492
0,2001,0,1,4,222771,1.8,1451,2,234208492
0,2001,0,3,2,307356,0.65,1451,4,234208492
0,2002,1,5,4,31007,12.9,1573,5,140111352
0,2002,1,1,23,206286,11.15,1573,2,140111352
0,2002,1,2,35,382139,9.16,1573,0,140111352
0,2002,1,4,13,198130,6.56,1573,5,140111352
0,2002,1,0,15,263067,5.7,1573,4,140111352
0,2002,0,0,14,275970,5.07,1573,4,140111352
0,2002,0,2,15,375113,4,1573,0,140111352
0,2002,0,1,7,223685,3.13,1573,2,140111352
0,2002,0,5,1,47407,2.11,1573,5,140111352
0,2002,0,4,4,191712,2.09,1573,5,140111352
0,2002,0,3,1,304850,0.33,1573,4,140111352
0,2002,1,3,1,319473,0.31,1573,4,140111352
0,2003,0,5,6,49088,12.22,2021,5,1451978617
0,2003,1,4,16,201520,7.94,2021,5,1451978617
0,2003,1,2,28,386196,7.25,2021,0,1451978617
0,2003,1,0,15,273235,5.49,2021,4,1451978617
0,2003,0,0,14,283709,4.93,2021,4,1451978617
0,2003,0,4,9,195699,4.6,2021,5,1451978617
0,2003,1,1,9,205433,4.38,2021,2,1451978617
0,2003,0,1,9,222941,4.04,2021,2,1451978617
0,2003,0,2,13,381760,3.41,2021,0,1451978617
0,2003,1,5,1,32667,3.06,2021,5,1451978617
0,2003,1,3,4,313204,1.28,2021,4,1451978617
0,2003,0,3,0,298477,0,2021,4,1451978617
0,2004,1,5,4,35526,11.26,2544,5,1275069416
0,2004,1,2,39,391767,9.95,2544,0,1275069416
0,2004,1,1,16,203938,7.85,2544,2,1275069416
0,2004,0,0,20,292268,6.84,2544,4,1275069416
0,2004,1,0,19,286768,6.63,2544,4,1275069416
0,2004,0,5,3,50970,5.89,2544,5,1275069416
0,2004,0,1,11,222389,4.95,2544,2,1275069416
0,2004,1,4,10,207202,4.83,2544,5,1275069416
0,2004,0,2,17,391436,4.34,2544,0,1275069416
0,2004,0,4,3,203841,1.47,2544,5,1275069416
0,2004,0,3,3,286705,1.05,2544,4,1275069416
0,2004,1,3,1,302181,0.33,2544,4,1275069416
0,2005,0,0,0,281922,0,2931,4,431385875
0,2005,0,1,0,190745,0,2931,2,431385875
0,2005,0,2,0,386513,0,2931,0,431385875
0,2005,0,3,0,276559,0,2931,4,431385875
0,2005,0,4,0,210998,0,2931,5,431385875
0,2005,0,5,0,53191,0,2931,5,431385875
0,2005,1,0,0,281675,0,2931,4,431385875
0,2005,1,1,0,177519,0,2931,2,431385875
0,2005,1,2,0,380242,0,2931,0,431385875
0,2005,1,3,0,291367,0,2931,4,431385875
0,2005,1,4,0,214118,0,2931,5,431385875
0,2005,1,5,0,38471,0,2931,5,431385875
0,2006,0,0,0,283138,0,3235,4,402707757
0,2006,0,1,0,186391,0,3235,2,402707757
0,2006,0,2,0,388746,0,3235,0,402707757
0,2006,0,3,0,267316,0,3235,4,402707757
0,2006,0,4,0,215907,0,3235,5,402707757
0,2006,0,5,0,56011,0,3235,5,402707757
0,2006,1,0,0,286679,0,3235,4,402707757
0,2006,1,1,0,174092,0,3235,2,402707757
0,2006,1,2,0,379076,0,3235,0,402707757
0,2006,1,3,0,282678,0,3235,4,402707757
0,2006,1,4,0,219360,0,3235,5,402707757
0,2006,1,5,0,40782,0,3235,5,402707757
0,2007,1,5,8,42366,18.88,3863,5,2111077305
0,2007,1,2,29,378626,7.66,3863,0,2111077305
0,2007,1,4,14,224160,6.25,3863,5,2111077305
0,2007,0,5,3,57404,5.23,3863,5,2111077305
0,2007,1,1,9,172494,5.22,3863,2,2111077305
0,2007,0,0,13,281080,4.63,3863,4,2111077305
0,2007,1,0,13,288349,4.51,3863,4,2111077305
0,2007,0,1,8,183629,4.36,3863,2,2111077305
0,2007,0,4,9,221120,4.07,3863,5,2111077305
0,2007,0,2,14,391811,3.57,3863,0,2111077305
0,2007,1,3,4,272497,1.47,3863,3,2111077305
0,2007,0,3,0,256808,0,3863,3,2111077305
0,2008,1,1,21,172855,12.15,4672,2,3549200
0,2008,1,2,37,377119,9.81,4672,0,3549200
0,2008,1,4,21,228672,9.18,4672,5,3549200
0,2008,0,5,5,59369,8.42,4672,5,3549200
0,2008,0,0,20,276073,7.24,4672,4,3549200
0,2008,0,1,9,182663,4.93,4672,2,3549200
0,2008,0,2,19,393832,4.82,4672,0,3549200
0,2008,1,5,2,44574,4.49,4672,5,3549200
0,2008,1,0,11,286702,3.84,4672,4,3549200
0,2008,0,4,7,226448,3.09,4672,5,3549200
0,2008,1,3,7,262464,2.67,4672,3,3549200
0,2008,0,3,1,246288,0.41,4672,3,3549200
0,2009,0,0,0,270003,0,4387,4,840688984
0,2009,0,1,0,182712,0,4387,2,840688984
0,2009,0,2,0,394286,0,4387,0,840688984
0,2009,0,3,0,236174,0,4387,3,840688984
0,2009,0,4,0,233302,0,4387,5,840688984
0,2009,0,5,0,61582,0,4387,5,840688984
0,2009,1,0,0,283448,0,4387,4,840688984
0,2009,1,1,0,174955,0,4387,2,840688984
0,2009,1,2,0,374365,0,4387,0,840688984
0,2009,1,3,0,253007,0,4387,3,840688984
0,2009,1,4,0,234570,0,4387,5,840688984
0,2009,1,5,0,47331,0,4387,5,840688984
0,2010,1,4,20,241852,8.27,4359,5,957948629
0,2010,1,2,20,371611,5.38,4359,2,957948629
0,2010,1,1,9,179720,5.01,4359,2,957948629
0,2010,1,5,2,50767,3.94,4359,5,957948629
0,2010,1,0,10,279508,3.58,4359,4,957948629
0,2010,0,1,6,183579,3.27,4359,2,957948629
0,2010,0,5,2,64415,3.1,4359,5,957948629
0,2010,0,2,12,394593,3.04,4359,2,957948629
0,2010,0,4,7,241491,2.9,4359,5,957948629
0,2010,0,0,6,263581,2.28,4359,4,957948629
0,2010,0,3,2,223969,0.89,4359,3,957948629
0,2010,1,3,0,240939,0,4359,3,957948629
1,1985,0,0,0,7709,0,3850,2,240923926
1,1985,0,1,0,6344,0,3850,0,240923926
1,1985,0,2,0,6173,0,3850,5,240923926
1,1985,0,3,0,7339,0,3850,2,240923926
1,1985,0,4,0,3778,0,3850,1,240923926
1,1985,0,5,0,949,0,3850,1,240923926
1,1985,1,0,0,7667,0,3850,2,240923926
1,1985,1,1,0,6194,0,3850,0,240923926
1,1985,1,2,0,5970,0,3850,5,240923926
1,1985,1,3,0,7304,0,3850,2,240923926
1,1985,1,4,0,2723,0,3850,1,240923926
1,1985,1,5,0,424,0,3850,1,240923926
1,1986,0,0,0,7668,0,4740,2,290440148
1,1986,0,1,0,6209,0,4740,0,290440148
1,1986,0,2,0,6101,0,4740,5,290440148
1,1986,0,3,0,6907,0,4740,2,290440148
1,1986,0,4,0,3764,0,4740,1,290440148
1,1986,0,5,0,1014,0,4740,1,290440148
1,1986,1,0,0,7563,0,4740,2,290440148
1,1986,1,1,0,6023,0,4740,0,290440148
1,1986,1,2,0,5947,0,4740,5,290440148
1,1986,1,3,0,6827,0,4740,2,290440148
1,1986,1,4,0,2771,0,4740,1,290440148
1,1986,1,5,0,476,0,4740,1,290440148
1,1987,0,0,0,7583,0,5595,2,337174852
1,1987,0,1,0,6101,0,5595,0,337174852
1,1987,0,2,0,6059,0,5595,5,337174852
1,1987,0,3,0,6623,0,5595,2,337174852
1,1987,0,4,0,3738,0,5595,1,337174852
1,1987,0,5,0,1081,0,5595,1,337174852
1,1987,1,0,0,7421,0,5595,2,337174852
1,1987,1,1,0,5893,0,5595,0,337174852
1,1987,1,2,0,5927,0,5595,5,337174852
1,1987,1,3,0,6499,0,5595,2,337174852
1,1987,1,4,0,2798,0,5595,1,337174852
1,1987,1,5,0,538,0,5595,1,337174852
1,1988,0,0,0,7413,0,6693,2,398637741
1,1988,0,1,0,6041,0,6693,0,398637741
1,1988,0,2,0,6021,0,6693,5,398637741
1,1988,0,3,0,6527,0,6693,2,398637741
1,1988,0,4,0,3708,0,6693,1,398637741
1,1988,0,5,0,1141,0,6693,1,398637741
1,1988,1,0,0,7209,0,6693,2,398637741
1,1988,1,1,0,5826,0,6693,0,398637741
1,1988,1,2,0,5907,0,6693,5,398637741
1,1988,1,3,0,6355,0,6693,2,398637741
1,1988,1,4,0,2813,0,6693,1,398637741
1,1988,1,5,0,603,0,6693,1,398637741
1,1989,0,0,0,7152,0,7407,2,438794778
1,1989,0,1,0,6059,0,7407,0,438794778
1,1989,0,2,0,5969,0,7407,5,438794778
1,1989,0,3,0,6621,0,7407,2,438794778
1,1989,0,4,0,3696,0,7407,1,438794778
1,1989,0,5,0,1195,0,7407,1,438794778
1,1989,1,0,0,6927,0,7407,2,438794778
1,1989,1,1,0,5835,0,7407,0,438794778
1,1989,1,2,0,5862,0,7407,5,438794778
1,1989,1,3,0,6403,0,7407,2,438794778
1,1989,1,4,0,2843,0,7407,1,438794778
1,1989,1,5,0,676,0,7407,1,438794778
1,1990,1,2,1,5799,17.24,7744,5,459469074
1,1990,0,0,0,6827,0,7744,2,459469074
1,1990,0,1,0,6172,0,7744,0,459469074
1,1990,0,2,0,5895,0,7744,5,459469074
1,1990,0,3,0,6877,0,7744,2,459469074
1,1990,0,4,0,3706,0,7744,1,459469074
1,1990,0,5,0,1252,0,7744,1,459469074
1,1990,1,0,0,6598,0,7744,2,459469074
1,1990,1,1,0,5937,0,7744,0,459469074
1,1990,1,3,0,6611,0,7744,2,459469074
1,1990,1,4,0,2902,0,7744,1,459469074
1,1990,1,5,0,758,0,7744,1,459469074
1,1991,0,0,0,6595,0,7976,2,481706333
1,1991,0,1,0,6396,0,7976,0,481706333
1,1991,0,2,0,6198,0,7976,0,481706333
1,1991,0,3,0,7089,0,7976,4,481706333
1,1991,0,4,0,3665,0,7976,5,481706333
1,1991,0,5,0,1293,0,7976,1,481706333
1,1991,1,0,0,6401,0,7976,2,481706333
1,1991,1,1,0,6156,0,7976,0,481706333
1,1991,1,2,0,6122,0,7976,0,481706333
1,1991,1,3,0,6818,0,7976,4,481706333
1,1991,1,4,0,2857,0,7976,5,481706333
1,1991,1,5,0,804,0,7976,1,481706333
1,1992,0,0,0,6369,0,8087,2,499281148
1,1992,0,1,0,6650,0,8087,0,499281148
1,1992,0,2,0,6534,0,8087,0,499281148
1,1992,0,3,0,7311,0,8087,4,499281148
1,1992,0,4,0,3648,0,8087,5,499281148
1,1992,0,5,0,1339,0,8087,1,499281148
1,1992,1,0,0,6221,0,8087,2,499281148
1,1992,1,1,0,6409,0,8087,0,499281148
1,1992,1,2,0,6497,0,8087,0,499281148
1,1992,1,3,0,7059,0,8087,4,499281148
1,1992,1,4,0,2851,0,8087,5,499281148
1,1992,1,5,0,853,0,8087,1,499281148
1,1993,1,1,1,6668,15,8453,0,535172778
1,1993,0,0,0,6182,0,8453,2,535172778
1,1993,0,1,0,6914,0,8453,0,535172778
1,1993,0,2,0,6917,0,8453,0,535172778
1,1993,0,3,0,7529,0,8453,4,535172778
1,1993,0,4,0,3662,0,8453,5,535172778
1,1993,0,5,0,1386,0,8453,1,535172778
1,1993,1,0,0,6069,0,8453,2,535172778
1,1993,1,2,0,6915,0,8453,0,535172778
1,1993,1,3,0,7298,0,8453,4,535172778
1,1993,1,4,0,2879,0,8453,5,535172778
1,1993,1,5,0,896,0,8453,1,535172778
1,1994,0,0,0,6083,0,9062,2,589429593
1,1994,0,1,0,7151,0,9062,0,589429593
1,1994,0,2,0,7357,0,9062,0,589429593
1,1994,0,3,0,7722,0,9062,4,589429593
1,1994,0,4,0,3715,0,9062,5,589429593
1,1994,0,5,0,1437,0,9062,1,589429593
1,1994,1,0,0,5976,0,9062,2,589429593
1,1994,1,1,0,6886,0,9062,0,589429593
1,1994,1,2,0,7359,0,9062,0,589429593
1,1994,1,3,0,7494,0,9062,4,589429593
1,1994,1,4,0,2935,0,9062,5,589429593
1,1994,1,5,0,929,0,9062,1,589429593
1,1995,0,0,0,6099,0,8636,2,577280741
1,1995,0,1,0,7333,0,8636,2,577280741
1,1995,0,2,0,7851,0,8636,0,577280741
1,1995,0,3,0,7885,0,8636,4,577280741
1,1995,0,4,0,3808,0,8636,5,577280741
1,1995,0,5,0,1488,0,8636,1,577280741
1,1995,1,0,0,5953,0,8636,2,577280741
1,1995,1,1,0,7023,0,8636,2,577280741
1,1995,1,2,0,7809,0,8636,0,577280741
1,1995,1,3,0,7632,0,8636,4,577280741
1,1995,1,4,0,3021,0,8636,5,577280741
1,1995,1,5,0,944,0,8636,1,577280741
1,1998,0,0,0,6529,0,10078,2,727860593
1,1998,0,1,0,8332,0,10078,2,727860593
1,1998,0,2,0,9615,0,10078,0,727860593
1,1998,0,3,0,8183,0,10078,4,727860593
1,1998,0,4,0,3921,0,10078,5,727860593
1,1998,0,5,0,1476,0,10078,1,727860593
1,1998,1,0,0,5916,0,10078,2,727860593
1,1998,1,1,0,7294,0,10078,2,727860593
1,1998,1,2,0,9086,0,10078,0,727860593
1,1998,1,3,0,7706,0,10078,4,727860593
1,1998,1,4,0,3213,0,10078,5,727860593
1,1998,1,5,0,954,0,10078,1,727860593
1,1999,0,0,0,6589,0,10378,2,766198926
1,1999,0,1,0,8526,0,10378,2,766198926
1,1999,0,2,0,10311,0,10378,0,766198926
1,1999,0,3,0,8314,0,10378,4,766198926
1,1999,0,4,0,3968,0,10378,5,766198926
1,1999,0,5,0,1451,0,10378,1,766198926
1,1999,1,0,0,5845,0,10378,2,766198926
1,1999,1,1,0,7263,0,10378,2,766198926
1,1999,1,2,0,9537,0,10378,0,766198926
1,1999,1,3,0,7805,0,10378,4,766198926
1,1999,1,4,0,3276,0,10378,5,766198926
1,1999,1,5,0,947,0,10378,1,766198926
1,2000,1,4,1,3333,30,11021,5,830158778
1,2000,1,2,1,10033,9.97,11021,0,830158778
1,2000,0,0,0,6616,0,11021,2,830158778
1,2000,0,1,0,8595,0,11021,2,830158778
1,2000,0,2,0,11040,0,11021,0,830158778
1,2000,0,3,0,8439,0,11021,4,830158778
1,2000,0,4,0,3986,0,11021,5,830158778
1,2000,0,5,0,1413,0,11021,1,830158778
1,2000,1,0,0,5783,0,11021,2,830158778
1,2000,1,1,0,7177,0,11021,2,830158778
1,2000,1,3,0,7973,0,11021,4,830158778
1,2000,1,5,0,938,0,11021,1,830158778
1,2001,1,2,2,10281,19.45,10468,0,800740259
1,2001,0,0,0,6902,0,10468,4,800740259
1,2001,0,1,0,8425,0,10468,2,800740259
1,2001,0,2,0,11402,0,10468,0,800740259
1,2001,0,3,0,8428,0,10468,4,800740259
1,2001,0,4,0,4037,0,10468,5,800740259
1,2001,0,5,0,1487,0,10468,5,800740259
1,2001,1,0,0,6084,0,10468,4,800740259
1,2001,1,1,0,7071,0,10468,2,800740259
1,2001,1,3,0,7958,0,10468,4,800740259
1,2001,1,4,0,3442,0,10468,5,800740259
1,2001,1,5,0,980,0,10468,5,800740259
1,2002,0,0,0,7196,0,10499,4,814615333
1,2002,0,1,0,8155,0,10499,2,814615333
1,2002,0,2,0,11760,0,10499,0,814615333
1,2002,0,3,0,8408,0,10499,4,814615333
1,2002,0,4,0,4050,0,10499,5,814615333
1,2002,0,5,0,1547,0,10499,5,814615333
1,2002,1,0,0,6416,0,10499,4,814615333
1,2002,1,1,0,6921,0,10499,2,814615333
1,2002,1,2,0,10604,0,10499,0,814615333
1,2002,1,3,0,7980,0,10499,4,814615333
1,2002,1,4,0,3527,0,10499,5,814615333
1,2002,1,5,0,1024,0,10499,5,814615333
1,2003,1,4,1,3594,27.82,10878,5,855643111
1,2003,0,0,0,7454,0,10878,4,855643111
1,2003,0,1,0,7831,0,10878,2,855643111
1,2003,0,2,0,12129,0,10878,0,855643111
1,2003,0,3,0,8423,0,10878,4,855643111
1,2003,0,4,0,4054,0,10878,5,855643111
1,2003,0,5,0,1583,0,10878,5,855643111
1,2003,1,0,0,6730,0,10878,4,855643111
1,2003,1,1,0,6734,0,10878,2,855643111
1,2003,1,2,0,10997,0,10878,0,855643111
1,2003,1,3,0,8061,0,10878,4,855643111
1,2003,1,5,0,1068,0,10878,5,855643111
1,2004,1,4,1,3665,27.29,11535,5,919577148
1,2004,1,2,1,11406,8.77,11535,0,919577148
1,2004,0,0,0,7648,0,11535,4,919577148
1,2004,0,1,0,7531,0,11535,2,919577148
1,2004,0,2,0,12492,0,11535,0,919577148
1,2004,0,3,0,8488,0,11535,4,919577148
1,2004,0,4,0,4088,0,11535,5,919577148
1,2004,0,5,0,1590,0,11535,5,919577148
1,2004,1,0,0,6968,0,11535,4,919577148
1,2004,1,1,0,6556,0,11535,2,919577148
1,2004,1,3,0,8196,0,11535,4,919577148
1,2004,1,5,0,1094,0,11535,5,919577148
1,2005,0,0,0,7780,0,12649,4,1022191296
1,2005,0,1,0,7327,0,12649,2,1022191296
1,2005,0,2,0,12835,0,12649,0,1022191296
1,2005,0,3,0,8584,0,12649,4,1022191296
1,2005,0,4,0,4157,0,12649,5,1022191296
1,2005,0,5,0,1575,0,12649,5,1022191296
1,2005,1,0,0,7113,0,12649,4,1022191296
1,2005,1,1,0,6444,0,12649,2,1022191296
1,2005,1,2,0,11778,0,12649,0,1022191296
1,2005,1,3,0,8358,0,12649,4,1022191296
1,2005,1,4,0,3748,0,12649,5,1022191296
1,2005,1,5,0,1110,0,12649,5,1022191296
1,2006,0,0,0,7902,0,14114,4,1157005444
1,2006,0,1,0,7098,0,14114,2,1157005444
1,2006,0,2,0,13374,0,14114,0,1157005444
1,2006,0,3,0,8571,0,14114,4,1157005444
1,2006,0,4,0,4256,0,14114,5,1157005444
1,2006,0,5,0,1573,0,14114,5,1157005444
1,2006,1,0,0,7239,0,14114,4,1157005444
1,2006,1,1,0,6319,0,14114,2,1157005444
1,2006,1,2,0,12202,0,14114,0,1157005444
1,2006,1,3,0,8485,0,14114,4,1157005444
1,2006,1,4,0,3847,0,14114,5,1157005444
1,2006,1,5,0,1107,0,14114,5,1157005444
1,2007,1,2,1,12530,7.98,15775,0,1311401333
1,2007,0,0,0,8013,0,15775,4,1311401333
1,2007,0,1,0,6962,0,15775,2,1311401333
1,2007,0,2,0,13860,0,15775,0,1311401333
1,2007,0,3,0,8555,0,15775,3,1311401333
1,2007,0,4,0,4400,0,15775,5,1311401333
1,2007,0,5,0,1568,0,15775,5,1311401333
1,2007,1,0,0,7330,0,15775,4,1311401333
1,2007,1,1,0,6267,0,15775,2,1311401333
1,2007,1,3,0,8564,0,15775,3,1311401333
1,2007,1,4,0,3988,0,15775,5,1311401333
1,2007,1,5,0,1094,0,15775,5,1311401333
1,2008,0,0,0,8108,0,16238,4,1368431037
1,2008,0,1,0,6910,0,16238,2,1368431037
1,2008,0,2,0,14278,0,16238,0,1368431037
1,2008,0,3,0,8537,0,16238,3,1368431037
1,2008,0,4,0,4587,0,16238,5,1368431037
1,2008,0,5,0,1567,0,16238,5,1368431037
1,2008,1,0,0,7404,0,16238,4,1368431037
1,2008,1,1,0,6274,0,16238,2,1368431037
1,2008,1,2,0,12782,0,16238,0,1368431037
1,2008,1,3,0,8599,0,16238,3,1368431037
1,2008,1,4,0,4158,0,16238,5,1368431037
1,2008,1,5,0,1069,0,16238,5,1368431037
1,2009,0,0,0,8199,0,14335,4,1224253000
1,2009,0,1,0,6917,0,14335,2,1224253000
1,2009,0,2,0,14629,0,14335,0,1224253000
1,2009,0,3,0,8514,0,14335,3,1224253000
1,2009,0,4,0,4793,0,14335,5,1224253000
1,2009,0,5,0,1571,0,14335,5,1224253000
1,2009,1,0,0,7489,0,14335,4,1224253000
1,2009,1,1,0,6325,0,14335,2,1224253000
